recipe-3400691506448742,b'Kartoffelgratin ohne Sahne',0 Bewertungen - Ø 2.5,star-unb,(0),normal,20 min.,02.10.2017,http://www.chefkoch.de/rezepte/3400691506448742/Kartoffelgratin-ohne-Sahne.html,no
recipe-3393811505165300,b'Quarkauflauf',0 Bewertungen - Ø 2.5,star-unb,(0),simpel,20 min.,02.10.2017,http://www.chefkoch.de/rezepte/3393811505165300/Quarkauflauf.html,no
recipe-3400671506447383,b'Beschwipstes Rind',0 Bewertungen - Ø 2.5,star-unb,(0),normal,20 min.,02.10.2017,http://www.chefkoch.de/rezepte/3400671506447383/Beschwipstes-Rind.html,no
recipe-3400401506363476,b'Gefl\xfcgelsalat mit Mayonnaise',0 Bewertungen - Ø 2.5,star-unb,(0),normal,45 min.,02.10.2017,http://www.chefkoch.de/rezepte/3400401506363476/Gefluegelsalat-mit-Mayonnaise.html,no
recipe-3399721506253134,b'Ciperines K\xe4sekuchen mit Orangen und Blaubeeren',0 Bewertungen - Ø 2.5,star-unb,(0),normal,30 min.,26.09.2017,http://www.chefkoch.de/rezepte/3399721506253134/Ciperines-Kaesekuchen-mit-Orangen-und-Blaubeeren.html,yes
recipe-3402681506795362,b'Birnen-Feigen-Crumble',0 Bewertungen - Ø 2.5,star-unb,(0),simpel,10 min.,01.10.2017,http://www.chefkoch.de/rezepte/3402681506795362/Birnen-Feigen-Crumble.html,yes
recipe-3399881506271604,b'Veganer Apfelstreuselkuchen',1 Bewertung - Ø 3.33,star-3_5,(1),normal,30 min.,28.09.2017,http://www.chefkoch.de/rezepte/3399881506271604/Veganer-Apfelstreuselkuchen.html,yes
recipe-3398371506008951,"b'One Pot Pasta mit Zucchini, Tomaten und Parmesan'",1 Bewertung - Ø 3.33,star-3_5,(1),simpel,15 min.,26.09.2017,http://www.chefkoch.de/rezepte/3398371506008951/One-Pot-Pasta-mit-Zucchini-Tomaten-und-Parmesan.html,yes
recipe-3398881506089299,b'Blumenkohl-Linsen-Puten-Suppe',0 Bewertungen - Ø 2.5,star-unb,(0),normal,25 min.,27.09.2017,http://www.chefkoch.de/rezepte/3398881506089299/Blumenkohl-Linsen-Puten-Suppe.html,yes
recipe-3399631506241650,b'Kerniges M\xf6hren-Apfel-Brot',0 Bewertungen - Ø 2.5,star-unb,(0),simpel,20 min.,28.09.2017,http://www.chefkoch.de/rezepte/3399631506241650/Kerniges-Moehren-Apfel-Brot.html,yes
